name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Fairsteadescllc,fairsteadescllc,greenhouse,40,low,1,bulk-verified; 99 jobs
Map,map,greenhouse,40,low,1,bulk-verified; 99 jobs
Amtengineering,amtengineering,lever,40,low,1,bulk-verified; 99 jobs
Bfsaulhotels,bfsaulhotels,lever,40,low,1,bulk-verified; 99 jobs
Dnllc,dnllc,lever,40,low,1,bulk-verified; 99 jobs
Rocketship,rocketship,lever,40,low,1,bulk-verified; 99 jobs
Powerdigitalmarketing,powerdigitalmarketing,greenhouse,40,low,1,bulk-verified; 98 jobs
Shieldshealthsolutions,shieldshealthsolutions,greenhouse,40,low,1,bulk-verified; 98 jobs
Dnb,dnb,lever,40,low,1,bulk-verified; 98 jobs
Etched,etched,ashby,40,low,1,bulk-verified; 98 jobs
Kong,kong,ashby,40,low,1,bulk-verified; 98 jobs
Riveron,riveron,ashby,40,low,1,bulk-verified; 98 jobs
Socure,socure,ashby,40,low,1,bulk-verified; 98 jobs
Nuro,nuro,greenhouse,40,low,1,bulk-verified; 97 jobs
Quintoandar,quintoandar,greenhouse,40,low,1,bulk-verified; 97 jobs
Coupa,coupa,lever,40,low,1,bulk-verified; 97 jobs
Field Ai,field-ai,lever,40,low,1,bulk-verified; 97 jobs
Gojob,gojob,lever,40,low,1,bulk-verified; 97 jobs
