name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Piedmontlube,piedmontlube,bamboohr,40,low,1,bamboohr; 24 US jobs
Primehomedds,primehomedds,bamboohr,40,low,1,bamboohr; 24 US jobs
Pvhgroupinc,pvhgroupinc,bamboohr,40,low,1,bamboohr; 24 US jobs
Quantanite,quantanite,bamboohr,40,low,1,bamboohr; 24 US jobs
Rosadogroup,rosadogroup,bamboohr,40,low,1,bamboohr; 24 US jobs
Therapycare,therapycare,bamboohr,40,low,1,bamboohr; 24 US jobs
Wilsonconst,wilsonconst,bamboohr,40,low,1,bamboohr; 24 US jobs
Youthdynamics,youthdynamics,bamboohr,40,low,1,bamboohr; 24 US jobs
2020Mobile,2020mobile,bamboohr,40,low,1,bamboohr; 23 US jobs
Acceltalentgroup,acceltalentgroup,bamboohr,40,low,1,bamboohr; 23 US jobs
Benchmarktherapy,benchmarktherapy,bamboohr,40,low,1,bamboohr; 23 US jobs
Buildit,buildit,bamboohr,40,low,1,bamboohr; 23 US jobs
Calpionplutus,calpionplutus,bamboohr,40,low,1,bamboohr; 23 US jobs
Centuriongroup,centuriongroup,bamboohr,40,low,1,bamboohr; 23 US jobs
Coast,coast,bamboohr,40,low,1,bamboohr; 23 US jobs
Compasselc,compasselc,bamboohr,40,low,1,bamboohr; 23 US jobs
Crihelp,crihelp,bamboohr,40,low,1,bamboohr; 23 US jobs
Darkhorseathletics,darkhorseathletics,bamboohr,40,low,1,bamboohr; 23 US jobs
Electromacgroup,electromacgroup,bamboohr,40,low,1,bamboohr; 23 US jobs
Hideandseekrecovery,hideandseekrecovery,bamboohr,40,low,1,bamboohr; 23 US jobs
Hotelco51,hotelco51,bamboohr,40,low,1,bamboohr; 23 US jobs
Josephjacobjewelers,josephjacobjewelers,bamboohr,40,low,1,bamboohr; 23 US jobs
Labelink,labelink,bamboohr,40,low,1,bamboohr; 23 US jobs
Lariviere,lariviere,bamboohr,40,low,1,bamboohr; 23 US jobs
Mcleanschool,mcleanschool,bamboohr,40,low,1,bamboohr; 23 US jobs
Mergon,mergon,bamboohr,40,low,1,bamboohr; 23 US jobs
Mptcs,mptcs,bamboohr,40,low,1,bamboohr; 23 US jobs
Navsav,navsav,bamboohr,40,low,1,bamboohr; 23 US jobs
Nti,nti,bamboohr,40,low,1,bamboohr; 23 US jobs
Nwaea,nwaea,bamboohr,40,low,1,bamboohr; 23 US jobs
Ovphealth,ovphealth,bamboohr,40,low,1,bamboohr; 23 US jobs
Relogicresearch,relogicresearch,bamboohr,40,low,1,bamboohr; 23 US jobs
Scgreencharter,scgreencharter,bamboohr,40,low,1,bamboohr; 23 US jobs
Silverlake,silverlake,bamboohr,40,low,1,bamboohr; 23 US jobs
Sunayu,sunayu,bamboohr,40,low,1,bamboohr; 23 US jobs
Terrestrialenergy,terrestrialenergy,bamboohr,40,low,1,bamboohr; 23 US jobs
Trondek,trondek,bamboohr,40,low,1,bamboohr; 23 US jobs
Truefootage,truefootage,bamboohr,40,low,1,bamboohr; 23 US jobs
Vidizmo,vidizmo,bamboohr,40,low,1,bamboohr; 23 US jobs
Zutacore,zutacore,bamboohr,40,low,1,bamboohr; 23 US jobs
A3,a3,bamboohr,40,low,1,bamboohr; 22 US jobs
A24Group,a24group,bamboohr,40,low,1,bamboohr; 22 US jobs
Anaergia,anaergia,bamboohr,40,low,1,bamboohr; 22 US jobs
Anchorqea,anchorqea,bamboohr,40,low,1,bamboohr; 22 US jobs
Citadelcpm,citadelcpm,bamboohr,40,low,1,bamboohr; 22 US jobs
Crownautogroup,crownautogroup,bamboohr,40,low,1,bamboohr; 22 US jobs
Cyticlinics,cyticlinics,bamboohr,40,low,1,bamboohr; 22 US jobs
Datacoresystems,datacoresystems,bamboohr,40,low,1,bamboohr; 22 US jobs
Dbfinc,dbfinc,bamboohr,40,low,1,bamboohr; 22 US jobs
Delawareelevator,delawareelevator,bamboohr,40,low,1,bamboohr; 22 US jobs
Dubak,dubak,bamboohr,40,low,1,bamboohr; 22 US jobs
Everguard,everguard,bamboohr,40,low,1,bamboohr; 22 US jobs
Frontierrailroad,frontierrailroad,bamboohr,40,low,1,bamboohr; 22 US jobs
Gallagher,gallagher,bamboohr,40,low,1,bamboohr; 22 US jobs
Gomedstar,gomedstar,bamboohr,40,low,1,bamboohr; 22 US jobs
Hangar,hangar,bamboohr,40,low,1,bamboohr; 22 US jobs
Hatalom,hatalom,bamboohr,40,low,1,bamboohr; 22 US jobs
Hillgrp,hillgrp,bamboohr,40,low,1,bamboohr; 22 US jobs
Legato,legato,bamboohr,40,low,1,bamboohr; 22 US jobs
Mcfa,mcfa,bamboohr,40,low,1,bamboohr; 22 US jobs
Medstarambulance,medstarambulance,bamboohr,40,low,1,bamboohr; 22 US jobs
Nheincteam,nheincteam,bamboohr,40,low,1,bamboohr; 22 US jobs
Novumbank,novumbank,bamboohr,40,low,1,bamboohr; 22 US jobs
Pegllc,pegllc,bamboohr,40,low,1,bamboohr; 22 US jobs
Phillipj,phillipj,bamboohr,40,low,1,bamboohr; 22 US jobs
Safransed,safransed,bamboohr,40,low,1,bamboohr; 22 US jobs
Sonsautogroup,sonsautogroup,bamboohr,40,low,1,bamboohr; 22 US jobs
Sweetcow,sweetcow,bamboohr,40,low,1,bamboohr; 22 US jobs
Utrs,utrs,bamboohr,40,low,1,bamboohr; 22 US jobs
Verto,verto,bamboohr,40,low,1,bamboohr; 22 US jobs
Accuratecourierservices,accuratecourierservices,bamboohr,40,low,1,bamboohr; 21 US jobs
Allcarehha,allcarehha,bamboohr,40,low,1,bamboohr; 21 US jobs
Atlasgroupcos,atlasgroupcos,bamboohr,40,low,1,bamboohr; 21 US jobs
Bimeda,bimeda,bamboohr,40,low,1,bamboohr; 21 US jobs
Birdseyeaccount,birdseyeaccount,bamboohr,40,low,1,bamboohr; 21 US jobs
Bloomtherapycenter,bloomtherapycenter,bamboohr,40,low,1,bamboohr; 21 US jobs
Boundlesslife,boundlesslife,bamboohr,40,low,1,bamboohr; 21 US jobs
Cecilmotors,cecilmotors,bamboohr,40,low,1,bamboohr; 21 US jobs
Colusa,colusa,bamboohr,40,low,1,bamboohr; 21 US jobs
Deltagroup,deltagroup,bamboohr,40,low,1,bamboohr; 21 US jobs
Demetres,demetres,bamboohr,40,low,1,bamboohr; 21 US jobs
Geospectrum,geospectrum,bamboohr,40,low,1,bamboohr; 21 US jobs
Grouper,grouper,bamboohr,40,low,1,bamboohr; 21 US jobs
Hireops,hireops,bamboohr,40,low,1,bamboohr; 21 US jobs
Ilisagvik,ilisagvik,bamboohr,40,low,1,bamboohr; 21 US jobs
Nevilleparkhotels,nevilleparkhotels,bamboohr,40,low,1,bamboohr; 21 US jobs
Newenergyequity,newenergyequity,bamboohr,40,low,1,bamboohr; 21 US jobs
Nisade,nisade,bamboohr,40,low,1,bamboohr; 21 US jobs
Palisadepest,palisadepest,bamboohr,40,low,1,bamboohr; 21 US jobs
Phhc,phhc,bamboohr,40,low,1,bamboohr; 21 US jobs
Prci,prci,bamboohr,40,low,1,bamboohr; 21 US jobs
Restorativepathways,restorativepathways,bamboohr,40,low,1,bamboohr; 21 US jobs
Rgroupla,rgroupla,bamboohr,40,low,1,bamboohr; 21 US jobs
Sbjames,sbjames,bamboohr,40,low,1,bamboohr; 21 US jobs
Scps,scps,bamboohr,40,low,1,bamboohr; 21 US jobs
Sinaiakiba,sinaiakiba,bamboohr,40,low,1,bamboohr; 21 US jobs
Sps,sps,bamboohr,40,low,1,bamboohr; 21 US jobs
Spurindustrial,spurindustrial,bamboohr,40,low,1,bamboohr; 21 US jobs
Staffzone,staffzone,bamboohr,40,low,1,bamboohr; 21 US jobs
Steigerwaldt,steigerwaldt,bamboohr,40,low,1,bamboohr; 21 US jobs
Taylordesign,taylordesign,bamboohr,40,low,1,bamboohr; 21 US jobs
Techpeoplemx,techpeoplemx,bamboohr,40,low,1,bamboohr; 21 US jobs
Therishercompanies,therishercompanies,bamboohr,40,low,1,bamboohr; 21 US jobs
Treeguardians,treeguardians,bamboohr,40,low,1,bamboohr; 21 US jobs
Uja,uja,bamboohr,40,low,1,bamboohr; 21 US jobs
Waystone,waystone,bamboohr,40,low,1,bamboohr; 21 US jobs
Xerxesglobal,xerxesglobal,bamboohr,40,low,1,bamboohr; 21 US jobs
Yumingcharterschool,yumingcharterschool,bamboohr,40,low,1,bamboohr; 21 US jobs
5Icloudsolutions,5icloudsolutions,bamboohr,40,low,1,bamboohr; 20 US jobs
Acetechnologies,acetechnologies,bamboohr,40,low,1,bamboohr; 20 US jobs
Alclvma,alclvma,bamboohr,40,low,1,bamboohr; 20 US jobs
Ardmac,ardmac,bamboohr,40,low,1,bamboohr; 20 US jobs
Atyeti,atyeti,bamboohr,40,low,1,bamboohr; 20 US jobs
Baldwin,baldwin,bamboohr,40,low,1,bamboohr; 20 US jobs
