name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Comfortsystemsusa,comfortsystemsusa|wd1|tas-energy,workday,40,low,1,delta-verified; 107 jobs
Comfortsystemsusa,comfortsystemsusa|wd1|eascareers,workday,40,low,1,delta-verified; 106 jobs
Vmlenterprisesolutions,vmlenterprisesolutions,greenhouse,40,low,1,delta-verified; 104 jobs
Xpel,xpel|wd5|xpel_careers,workday,40,low,1,delta-verified; 104 jobs
Grpr,grpr|wd3|parques_reunidos,workday,40,low,1,delta-verified; 103 jobs
Unitedfirm,unitedfirm,greenhouse,40,low,1,delta-verified; 102 jobs
Worldquant,worldquant,greenhouse,40,low,1,delta-verified; 102 jobs
Twochairs,twochairs,greenhouse,40,low,1,delta-verified; 101 jobs
Connect,connect|wd1|ztsystemscareers,workday,40,low,1,delta-verified; 101 jobs
Wolseley,wolseley|wd3|external,workday,40,low,1,delta-verified; 101 jobs
Corrohealth,corrohealth|wd1|corrohealthindia,workday,40,low,1,delta-verified; 97 jobs
Cyrusone,cyrusone|wd1|cyrusonecareerportal,workday,40,low,1,delta-verified; 97 jobs
Petersonholding,petersonholding|wd1|petersonjobs,workday,40,low,1,delta-verified; 97 jobs
Ubc,ubc|wd10|ubcstaffjobs,workday,40,low,1,delta-verified; 97 jobs
Wellthy Care Network,wellthy-care-network,greenhouse,40,low,1,delta-verified; 94 jobs
Werner,werner|wd501|werner,workday,40,low,1,delta-verified; 94 jobs
Vardaspace,vardaspace,greenhouse,40,low,1,delta-verified; 93 jobs
Caresource,caresource|wd1|caresource,workday,40,low,1,delta-verified; 93 jobs
Theperiscopegroup,theperiscopegroup,greenhouse,40,low,1,delta-verified; 92 jobs
Cubic,cubic|wd1|cubic_global_careers,workday,40,low,1,delta-verified; 92 jobs
Yeticoolers,yeticoolers|wd5|yeti,workday,40,low,1,delta-verified; 92 jobs
Withumsmithbrown,withumsmithbrown,greenhouse,40,low,1,delta-verified; 91 jobs
Ctca,ctca|wd1|cancercenter_careers,workday,40,low,1,delta-verified; 91 jobs
Winlandfoods,winlandfoods|wd1|external,workday,40,low,1,delta-verified; 91 jobs
Ig,ig|wd103|ext_ig,workday,40,low,1,delta-verified; 90 jobs
Intelcomgroup,intelcomgroup|wd3|intelcom,workday,40,low,1,delta-verified; 90 jobs
Veritasvetpartners,veritasvetpartners,greenhouse,40,low,1,delta-verified; 89 jobs
Sonyglobal,sonyglobal|wd1|sonyglobalcareers,workday,40,low,1,delta-verified; 89 jobs
Zoominfo,zoominfo,greenhouse,40,low,1,delta-verified; 88 jobs
Denver,denver|wd1|ccd-denver-denvergov-csc_jobs-civil_service_jobs-police_jobs-fire_jobs,workday,40,low,1,delta-verified; 85 jobs
Takealotcom,takealotcom,greenhouse,40,low,1,delta-verified; 84 jobs
Tsg,tsg,greenhouse,40,low,1,delta-verified; 84 jobs
Draftkings,draftkings|wd1|draftkings,workday,40,low,1,delta-verified; 84 jobs
Churchdwight,churchdwight|wd1|chdcareers,workday,40,low,1,delta-verified; 83 jobs
Cooley,cooley|wd1|cooley_us_llp,workday,40,low,1,delta-verified; 83 jobs
Soti,soti|wd3|careers,workday,40,low,1,delta-verified; 83 jobs
Westernunion,westernunion|wd5|westernunionjobs,workday,40,low,1,delta-verified; 83 jobs
Taboola,taboola,greenhouse,40,low,1,delta-verified; 82 jobs
Tripadvisor,tripadvisor,greenhouse,40,low,1,delta-verified; 82 jobs
Voyagertechnologiesinc,voyagertechnologiesinc,greenhouse,40,low,1,delta-verified; 82 jobs
Wilsonelser,wilsonelser,greenhouse,40,low,1,delta-verified; 80 jobs
Wilhelmsen,wilhelmsen|wd3|wilhelmsen,workday,40,low,1,delta-verified; 80 jobs
Frenckengroup,frenckengroup|wd103|external,workday,40,low,1,delta-verified; 79 jobs
Htsc,htsc|wd102|huatai_careers,workday,40,low,1,delta-verified; 79 jobs
Upstart,upstart,greenhouse,40,low,1,delta-verified; 78 jobs
Successacademycharterschool,successacademycharterschool,greenhouse,40,low,1,delta-verified; 77 jobs
Bbinsurance,bbinsurance|wd1|careers_europe,workday,40,low,1,delta-verified; 76 jobs
Delegatecx,delegatecx|wd1|dcx,workday,40,low,1,delta-verified; 76 jobs
Workiva,workiva|wd503|careers,workday,40,low,1,delta-verified; 76 jobs
Theoncologyinstitute,theoncologyinstitute,greenhouse,40,low,1,delta-verified; 75 jobs
Hive,hive,lever,40,low,1,delta-verified; 75 jobs
